Id,Have,Base,Name,Sub Base,Ingredient,Ingredient Type,Amount,Units,Link
29,No,Cognac,Cognac Alexander,Ansac,Crème de Cacao (Dark),Cordial,0.66,Ounce,ansac-cognac.fr/cocktails/
144,No,Cordial,Peppermint Crisp,Crème de Menthe,Kahlua,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2406/
145,No,Cordial,Peppermint Crisp,Crème de Menthe,Milk,Mixer,0,Fill,http://www.drinksmixer.com/cat/2406/
269,No,Gin,Tom Sweeney,Beefeater,Crème de Caissis,Cordial,1,Ounce,http://www.drinksmixer.com/drink3397.html
147,No,Cordial,Peppermint Penguin,Crème de Menthe,Chocolate Mint Liqueur,Cordial,0.5,Ounce,http://www.drinksmixer.com/cat/2406/
148,No,Cordial,Peppermint Penguin,Crème de Menthe,Oreos,Topping,3,Cookies,http://www.drinksmixer.com/cat/2406/
149,No,Cordial,Peppermint Penguin,Crème de Menthe,Light Cream,Mixer,3,Ounce,http://www.drinksmixer.com/cat/2406/
150,No,Cordial,Peppermint Penguin,Crème de Menthe,Whipped Cream,Topping,0,Fill,http://www.drinksmixer.com/cat/2406/
293,No,Gin,Cassis Mule,Bombay,Crème de Caissis,Cordial,15,Milliliters,https://www.bombaysapphire.com/distillery/gin-cocktails/cassis-mule/
152,Yes,Cordial,Port and Starboard,Crème de Menthe,Grenadine,Mixer,1,Tablespoon,http://www.drinksmixer.com/cat/2406/
153,No,Cordial,Alaskan Polar Bear,Frangelico,Frangelico Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
154,No,Cordial,Alaskan Polar Bear,Frangelico,Almond Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
155,No,Cordial,Alaskan Polar Bear,Frangelico,Cocoa Cream,Mixer,1,Ounce,http://www.drinksmixer.com/cat/2384/
156,No,Cordial,Alaskan Polar Bear,Frangelico,Chocolate Syrup,Syrup,1,Ounce,http://www.drinksmixer.com/cat/2384/
157,No,Cordial,Alaskan Polar Bear,Frangelico,Ice Cream,Mixer,1,Scoops,http://www.drinksmixer.com/cat/2384/
158,No,Cordial,Brazilian Monk,Frangelico,Frangelico Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
